"ID_muestra","N_Vaca","Muestreo","ED","DEL","Estado","Estado_n","NP","PL","CE","CCS","SCCS","Resultado","","","",""
"777-10","777","10","72","79","Inseminada","3","4","16","6.9","343000","4.78","1","","","",""
"935-3","935","3","36","18","Abierta","2","2","17.2","6.1","333000","4.74","1","","","",""
"24-2","24","2","17","26","Abierta","2","1","10.3","6","331000","4.73","1","","","",""
"240-1","240","1","91","80","Abierta","2","5","10.3","6.4","329000","4.72","1","","","",""
"1931-2","1931","2","85","32","Abierta","2","6","19","4.9","335000","4.74","1","","","",""
"935-2","935","2","36","11","Abierta","2","2","16.4","6.3","334000","4.74","1","","","",""
"197-2","197","2","58","46","Abierta","2","4","19.5","6.5","217000","4.12","1","","","",""
"35-2","35","2","152","52","Inseminada","3","5","20.8","7.4","289000","4.53","1","","","",""
"2218-6","2218","6","45","293","Gestante","1","2","14.7","6","288000","4.53","1","","","",""
"777-9","777","9","72","71","Inseminada","3","4","15.7","7.3","286000","4.52","1","","","",""
"197-5","197","5","59","67","Abierta","2","4","19.6","6.4","291000","4.54","1","","","",""
"2218-10","2218","10","46","322","Gestante","1","2","13.6","6.4","290000","4.54","1","","","",""
"1546-6","1546","6","59","151","Gestante","1","3","15.8","6.7","290000","4.54","1","","","",""
"953-8","953","8","35","223","Gestante","1","1","12.3","5.5","284000","4.51","1","","","",""
"241-9","241","9","81","344","Estéril","5","3","8.1","6.8","280000","4.49","1","","","",""
"894-4","894","4","45","227","Gestante","1","2","15.4","6.9","280000","4.49","1","","","",""
"240-6","240","6","92","115","Inseminada","3","5","12.8","6.7","286000","4.52","1","","","",""
"216-9","216","9","92","216","Inseminada","3","4","14.5","7.9","285000","4.51","1","","","",""
"884-4","884","4","47","241","Gestante","1","2","12.8","6","284000","4.51","1","","","",""
"241-6","241","6","80","323","Estéril","5","3","8.4","6","293000","4.55","1","","","",""
"888-11","888","11","48","322","Gestante","1","2","9.5","6","308000","4.62","1","","","",""
"241-8","241","8","81","337","Estéril","5","3","10.8","5.9","308000","4.62","1","","","",""
"961-2","961","2","32","193","Gestante","1","1","10.9","5.9","308000","4.62","1","","","",""
"2218-5","2218","5","44","286","Gestante","1","2","14.3","6.6","311000","4.64","1","","","",""
"1546-11","1546","11","60","187","Gestante","1","3","14.2","6.7","310000","4.63","1","","","",""
"19-10","19","10","95","18","Abierta","2","7","14.2","7","310000","4.63","1","","","",""
"798-10","798","10","67","310","Gestante","1","4","4.5","5.9","298000","4.58","1","","","",""
"1112-6","1112","6","101","306","Gestante","1","4","16.7","6.5","294000","4.56","1","","","",""
